file,disposition,status,reason,basis_source
syndicate_1084_2014.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1084_2015.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1084_2016.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1084_2017.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1084_2018.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1084_2019.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1084_2020.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1084_2021.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1084_2022.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1084_2023.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1084_2024.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1100_2024.json,SKIPPED,SKIPPED,,
syndicate_1110_2014.json,CORPUS:NET_BASIS,NET_BASIS,,"register:movement note, gross direct surplus less reinsurance deficit summed to a net figure"
syndicate_1110_2015.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1110_2016.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1110_2017.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1110_2018.json,EXCLUDED,EXCLUDED,,
syndicate_1110_2019.json,EXCLUDED,EXCLUDED,,
syndicate_1110_2020.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1110_2021.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1110_2022.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1110_2023.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1110_2024.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1176_2014.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1176_2015.json,CORPUS:NET_BASIS,NET_BASIS,,triangle-override:net
syndicate_1176_2016.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1176_2017.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1176_2018.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1176_2019.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1176_2020.json,CORPUS:RELIABLE,RELIABLE,,
syndicate_1176_2021.json,CORPUS:RELIABLE,RELIABLE,,
