stem,route,n_classes,class_total,record_gpw,loader_reconciles,T,T_sources,ratio,working_sample,hhi,mechanism,detail
syndicate_3500_2018,det:azure,6,2.0,2.0,True,206.586,azure:t0+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.01,True,1.0,RI-ACCEPT,"t7: 'Reinsurance acceptances' 206,584"
syndicate_1910_2019,det:azure,2,3.9,3.9,True,293.5,azure:t0+gemini-2.5-flash:gpw+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.013,True,0.7054569362261669,RI-ACCEPT,t4: 'Reinsurance acceptances' 285.2
syndicate_510_2024,det:azure,3,35.6,35.6,True,1817.366,azure:t10+azure:t2+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.02,True,0.9244413584143416,WRONG-TABLE,t11: t11 has no row near the report total
syndicate_3624_2019,det:azure_text_fallback,5,10.1,10.1,True,417.386,gemini-2.5-flash:mix+gpt-5-mini:mix,0.024,True,0.33692775218115867,TEXT-PARTIAL,5/5 adopted amounts are rows of the models' premium table
syndicate_1301_2022,det:azure_text_fallback,5,25.4,25.4,True,801.25,azure:t0+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.032,True,0.260989521979044,TEXT-MIXED,1/5 adopted amounts are rows of the models' premium table
syndicate_1301_2021,det:azure_text_fallback,5,15.6,15.6,True,428.047,azure:t0+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.036,True,0.2772846811308349,TEXT-NOT-PREMIUM,0/5 adopted amounts are rows of the models' premium table
syndicate_1880_2024,det:azure,6,17.5,17.4,True,450.042,azure:t2+gemini-2.5-flash:gpw+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.039,True,0.9127510204081632,WRONG-TABLE,t8: t8 has no row near the report total
syndicate_1609_2024,det:azure,3,13.5,13.5,True,329.998,azure:t0+azure:t2+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.041,False,,WRONG-TABLE,t5: t5 has no row near the report total
syndicate_1301_2018,det:azure_text_fallback,5,12.9,12.8,True,248.516,azure:t0+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.052,True,0.38861847244756936,TEXT-NOT-PREMIUM,0/5 adopted amounts are rows of the models' premium table
syndicate_1301_2019,det:azure_text_fallback,5,12.1,12.1,True,175.405,azure:t0+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.069,True,0.3485417662727955,TEXT-NOT-PREMIUM,0/5 adopted amounts are rows of the models' premium table
syndicate_2357_2024,det:azure,2,44.8,44.7,True,609.52,azure:t1+azure:t3+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.074,True,0.9520986128826532,RI-ACCEPT,"t16: 'Reinsurance acceptances' 564,773"
syndicate_1856_2018,det:azure_text_fallback,3,14.2,14.2,True,143.968,azure:t0+azure:t1+azure:t4+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.099,True,0.41608807776234874,TEXT-PARTIAL,3/3 adopted amounts are rows of the models' premium table
syndicate_2786_2019,det:azure_text_fallback,4,18.9,18.9,True,146.349,azure:t2+azure:t4+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.129,True,0.39318608101676894,TEXT-PARTIAL,4/4 adopted amounts are rows of the models' premium table
syndicate_1980_2018,det:azure_text_fallback,3,35.0,35.1,True,251.237,azure:t2+azure:t4+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.139,False,0.5889469387755102,TEXT-PARTIAL,3/3 adopted amounts are rows of the models' premium table
syndicate_435_2015,det:azure_text_fallback,4,34.2,34.2,True,226.892,azure:t0+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.151,True,0.6708249095846773,TEXT-PARTIAL,4/4 adopted amounts are rows of the models' premium table
syndicate_1988_2023,det:azure_text_fallback,3,45.0,45.0,True,294.169,azure:t2+azure:t3+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.153,True,0.8717135802469136,TEXT-PARTIAL,3/3 adopted amounts are rows of the models' premium table
syndicate_435_2016,det:azure_text_fallback,4,42.3,42.3,True,275.378,azure:t0+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.154,True,0.777274784970575,TEXT-PARTIAL,4/4 adopted amounts are rows of the models' premium table
syndicate_1910_2017,det:azure,2,56.0,56.0,True,341.1,azure:t0+azure:t1+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.164,True,0.8086734693877551,RI-ACCEPT,t3: 'Reinsurance acceptances' 285.1
syndicate_435_2014,det:azure_text_fallback,4,37.2,37.3,True,207.554,azure:t0+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.179,False,0.718652445369407,TEXT-PARTIAL,4/4 adopted amounts are rows of the models' premium table
syndicate_435_2017,det:azure_text_fallback,3,76.2,76.1,True,378.05,azure:t0+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.202,True,0.4827984100412645,TEXT-PARTIAL,3/3 adopted amounts are rows of the models' premium table
syndicate_435_2018,det:azure_text_fallback,3,107.0,107.0,True,469.621,azure:t0+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.228,True,0.42772119835793515,TEXT-PARTIAL,3/3 adopted amounts are rows of the models' premium table
syndicate_44_2017,llm:gemini-2.5-flash,3,4.719,17.728,False,17.728,azure:t0+azure:t1+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.266,False,,LLM,the model's own mix; loader reconciles=False
syndicate_779_2016,llm:gemini-2.5-flash,2,5.58,19.81,False,19.81,azure:t1+azure:t14+azure:t2+gemini-2.5-flash:gpw+gpt-5-mini:mix,0.282,False,,LLM,the model's own mix; loader reconciles=False
syndicate_2010_2017,det:azure,6,77.9,78.0,True,267.314,azure:t6+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.291,True,0.8741515354401598,RI-ACCEPT,"t10: 'Reinsurance acceptances' 189,264"
syndicate_3500_2021,det:azure,6,698.4,698.3,True,2309.082,azure:t0+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.302,True,0.5337560311081609,RI-ACCEPT,"t9: 'Reinsurance acceptances' 1,610,766"
syndicate_1955_2024,det:azure,5,229.2,229.0,True,745.614,azure:t1+azure:t2+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.307,True,0.3543872914058764,RI-ACCEPT,"t12: 'Reinsurance acceptances' 516,567"
syndicate_4472_2024,det:azure,7,546.8,546.8,True,1753.408,azure:t0+azure:t1+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.312,True,0.2827586371883402,RI-ACCEPT,"t14: 'Reinsurance acceptances' 1,206,650"
syndicate_2010_2015,det:azure,6,98.3,98.3,True,304.119,azure:t1+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.323,True,0.7515903829497667,RI-ACCEPT,"t4: 'Reinsurance acceptances' 205,921"
syndicate_2010_2014,det:azure,6,71.6,71.7,True,219.465,azure:t5+gemini-2.5-flash:gpw+gpt-5-mini:gpw+gpt-5-mini:mix,0.326,True,0.7809139838637081,RI-ACCEPT,"t8: 'Reinsurance acceptances' 147,758"
syndicate_2010_2016,det:azure,6,91.3,91.4,True,273.128,azure:t4+gemini-2.5-flash:mix+gpt-5-mini:gpw+gpt-5-mini:mix,0.334,True,0.7581692039877025,RI-ACCEPT,"t8: 'Reinsurance acceptances' 181,729"
