file,syndicate,year,category,detail,in_inferential_population,in_model_sample,eligible_outcome_observed,size_proxy_gbp_m,size_proxy_source
syndicate_1084_2014.json,1084,2014,working_sample,observed_eligible_complete,True,True,True,1332.5,filing
syndicate_1084_2015.json,1084,2015,working_sample,observed_eligible_complete,True,True,True,1579.2,filing
syndicate_1084_2016.json,1084,2016,working_sample,observed_eligible_complete,True,True,True,1609,filing
syndicate_1084_2017.json,1084,2017,working_sample,observed_eligible_complete,True,True,True,1830.6,filing
syndicate_1084_2018.json,1084,2018,working_sample,observed_eligible_complete,True,True,True,1962.8,filing
syndicate_1084_2019.json,1084,2019,working_sample,observed_eligible_complete,True,True,True,1886.72846484,filing
syndicate_1084_2020.json,1084,2020,working_sample,observed_eligible_complete,True,True,True,1936.2465232,filing
syndicate_1084_2021.json,1084,2021,working_sample,observed_eligible_complete,True,True,True,2103.77777778,filing
syndicate_1084_2022.json,1084,2022,working_sample,observed_eligible_complete,True,True,True,2398.36052,filing
syndicate_1084_2023.json,1084,2023,working_sample,observed_eligible_complete,True,True,True,2646.86494546,filing
syndicate_1084_2024.json,1084,2024,working_sample,observed_eligible_complete,True,True,True,2728.97292549,filing
syndicate_1100_2024.json,1100,2024,structural_no_eligible_outcome,no_mature_cohort,False,False,False,,filing
syndicate_1110_2014.json,1110,2014,scientific_exclusion,non_gross_or_unstated_development,False,False,False,72.176,filing
syndicate_1110_2015.json,1110,2015,scientific_exclusion,non_gross_or_unstated_development,False,False,False,100.728,filing
syndicate_1110_2016.json,1110,2016,scientific_exclusion,non_gross_or_unstated_development,False,False,False,172.629,filing
syndicate_1110_2017.json,1110,2017,working_sample,observed_eligible_complete,True,True,True,275.5,filing
syndicate_1110_2018.json,1110,2018,working_sample,observed_eligible_complete,True,True,True,111.035,filing
syndicate_1110_2019.json,1110,2019,scientific_exclusion,non_gross_or_unstated_development,False,False,False,93.512,filing
syndicate_1110_2020.json,1110,2020,working_sample,observed_eligible_complete,True,True,True,133.771,filing
