reporting_year,syndicate
2020,218
2020,510
2020,557
2020,566
2020,623
2020,626
2020,1036
2020,1840
2020,1886
2020,1892
2020,1919
2020,1945
2020,1947
2020,1955
2020,1967
2020,1969
2020,1971
2020,1975
2020,1991
2020,2001
2020,2003
2020,2012
2020,2015
2020,2019
2020,2084
2020,2122
2020,2232
2020,2288
2020,2357
2020,2488
2020,2525
2020,2609
2020,2689
2020,2786
2020,2988
2020,2999
2020,3000
2020,3002
2020,3010
2020,3268
2020,3622
2020,3623
2020,3624
2020,3902
2020,4000
2020,4020
2020,4141
2020,4242
2020,4444
2020,4472
2020,4473
2020,4711
2020,5000
2020,5151
2020,5555
2020,5623
2020,5886
2020,6103
2020,6104
2020,6107
2020,6117
2020,6125
2020,6131
2020,6132
2020,6133
2020,6134
2021,218
2021,510
2021,557
2021,1609
2021,1618
2021,1796
2021,1840
2021,1892
2021,1919
2021,1945
2021,1947
2021,1955
2021,1967
2021,1969
2021,1971
2021,1975
2021,1994
2021,2001
2021,2003
2021,2008
2021,2012
2021,2015
2021,2019
2021,2232
2021,2288
2021,2357
2021,2488
2021,2525
2021,2689
2021,2786
2021,2988
2021,2999
2021,3000
2021,3002
2021,3010
2021,3268
2021,3500
2021,3622
2021,3623
2021,3624
2021,3902
2021,4000
2021,4020
2021,4141
2021,4242
2021,4444
2021,4472
2021,4711
2021,4747
2021,5000
2021,5623
2021,5886
2021,6103
2021,6104
2021,6107
2021,6117
2021,6131
2021,6132
2021,6133
2021,6134
2022,218
2022,510
2022,557
2022,1254
2022,1416
2022,1609
2022,1618
2022,1699
2022,1796
2022,1840
2022,1892
2022,1902
2022,1919
2022,1945
2022,1947
2022,1955
2022,1967
2022,1969
2022,1971
2022,1975
2022,1988
2022,2001
2022,2003
2022,2010
2022,2012
2022,2015
2022,2019
2022,2232
2022,2357
2022,2358
2022,2488
2022,2525
2022,2689
2022,2786
2022,2880
2022,2988
2022,2999
2022,3000
2022,3002
2022,3010
2022,3500
2022,3622
2022,3623
2022,3624
2022,3902
2022,4000
2022,4020
2022,4141
2022,4242
2022,4321
2022,4444
2022,4472
2022,4711
2022,4747
2022,5000
2022,5623
2022,5886
2022,6103
2022,6104
2022,6107
2022,6117
2022,6134
2023,218
2023,510
2023,1254
2023,1322
2023,1347
2023,1416
2023,1699
2023,1892
2023,1902
2023,1919
2023,1945
2023,1947
2023,1955
2023,1967
2023,1969
2023,1971
2023,1985
2023,1988
2023,2001
2023,2003
2023,2008
2023,2012
2023,2015
2023,2019
2023,2232
2023,2357
2023,2358
2023,2488
2023,2525
2023,2689
2023,2786
2023,2880
2023,2988
2023,2999
2023,3000
2023,3002
2023,3010
2023,3456
2023,3500
2023,3622
2023,3624
2023,3902
2023,4000
2023,4020
2023,4141
2023,4242
2023,4321
2023,4444
2023,4472
2023,4711
2023,4747
2023,5000
2023,5183
2023,5623
2023,5886
2023,6103
2023,6104
2023,6107
2023,6117
2023,6134
2023,6136
2024,218
2024,510
2024,1322
2024,1416
2024,1892
2024,1902
2024,1919
2024,1922
2024,1925
2024,1945
2024,1947
2024,1955
2024,1967
2024,1969
2024,1971
2024,1985
2024,1988
2024,1994
2024,1996
2024,2001
2024,2003
2024,2012
2024,2015
2024,2019
2024,2024
2024,2232
2024,2357
2024,2358
2024,2488
2024,2525
2024,2689
2024,2786
2024,2880
2024,2988
2024,2999
2024,3000
2024,3002
2024,3010
2024,3456
2024,3622
2024,3623
2024,3624
2024,3902
2024,4000
2024,4020
2024,4141
2024,4242
2024,4444
2024,4472
2024,4711
2024,4747
2024,5000
2024,5183
2024,5623
2024,5886
2024,6103
2024,6104
2024,6107
2024,6117
2024,6134
