series,value,exceedance_probability
Raw market,5e-06,1.0
Raw market,9.3e-05,0.997312
Raw market,0.000522,0.994624
Raw market,0.000687,0.991935
Raw market,0.001141,0.989247
Raw market,0.001681,0.986559
Raw market,0.00295,0.983871
Raw market,0.002998,0.981183
Raw market,0.003455,0.978495
Raw market,0.003769,0.975806
Raw market,0.003788,0.973118
Raw market,0.003948,0.97043
Raw market,0.004497,0.967742
Raw market,0.004717,0.965054
Raw market,0.004912,0.962366
Raw market,0.005429,0.959677
Raw market,0.00593,0.956989
Raw market,0.0071,0.954301
Raw market,0.007582,0.951613
Raw market,0.008029,0.948925
Raw market,0.008069,0.946237
Raw market,0.008138,0.943548
Raw market,0.008377,0.94086
Raw market,0.008514,0.938172
Raw market,0.008594,0.935484
Raw market,0.008658,0.932796
Raw market,0.008992,0.930108
Raw market,0.009011,0.927419
Raw market,0.009165,0.924731
Raw market,0.009428,0.922043
Raw market,0.009578,0.919355
Raw market,0.009774,0.916667
Raw market,0.009811,0.913978
Raw market,0.010226,0.91129
Raw market,0.010518,0.908602
Raw market,0.010554,0.905914
Raw market,0.010625,0.903226
Raw market,0.011326,0.900538
Raw market,0.01145,0.897849
Raw market,0.011999,0.895161
Raw market,0.012035,0.892473
Raw market,0.012657,0.889785
Raw market,0.012918,0.887097
Raw market,0.013023,0.884409
Raw market,0.013054,0.88172
Raw market,0.013094,0.879032
Raw market,0.013641,0.876344
Raw market,0.013714,0.873656
Raw market,0.014018,0.870968
Raw market,0.014351,0.86828
Raw market,0.014731,0.865591
Raw market,0.014841,0.862903
Raw market,0.01486,0.860215
Raw market,0.015107,0.857527
Raw market,0.015107,0.854839
Raw market,0.015349,0.852151
Raw market,0.015553,0.849462
Raw market,0.016031,0.846774
Raw market,0.016343,0.844086
Raw market,0.016545,0.841398
Raw market,0.017135,0.83871
Raw market,0.017276,0.836022
Raw market,0.017776,0.833333
Raw market,0.018505,0.830645
Raw market,0.018629,0.827957
Raw market,0.018757,0.825269
Raw market,0.018801,0.822581
Raw market,0.018847,0.819892
Raw market,0.018931,0.817204
Raw market,0.019049,0.814516
Raw market,0.019463,0.811828
Raw market,0.01962,0.80914
Raw market,0.019953,0.806452
Raw market,0.020393,0.803763
Raw market,0.02048,0.801075
Raw market,0.020817,0.798387
Raw market,0.021604,0.795699
Raw market,0.021918,0.793011
Raw market,0.021962,0.790323
Raw market,0.022008,0.787634
Raw market,0.022011,0.784946
Raw market,0.022121,0.782258
Raw market,0.022324,0.77957
Raw market,0.022543,0.776882
Raw market,0.022891,0.774194
Raw market,0.023483,0.771505
Raw market,0.023855,0.768817
Raw market,0.023991,0.766129
Raw market,0.02408,0.763441
Raw market,0.024556,0.760753
Raw market,0.024703,0.758065
Raw market,0.025311,0.755376
Raw market,0.025327,0.752688
Raw market,0.025544,0.75
Raw market,0.025755,0.747312
Raw market,0.025837,0.744624
Raw market,0.026545,0.741935
Raw market,0.027214,0.739247
Raw market,0.027413,0.736559
Raw market,0.028098,0.733871
Raw market,0.028186,0.731183
Raw market,0.028398,0.728495
Raw market,0.028421,0.725806
Raw market,0.029071,0.723118
Raw market,0.029588,0.72043
Raw market,0.030158,0.717742
Raw market,0.030201,0.715054
Raw market,0.03027,0.712366
Raw market,0.030697,0.709677
Raw market,0.030903,0.706989
Raw market,0.031127,0.704301
Raw market,0.031327,0.701613
Raw market,0.031556,0.698925
Raw market,0.031969,0.696237
Raw market,0.032827,0.693548
Raw market,0.033315,0.69086
Raw market,0.033373,0.688172
Raw market,0.033481,0.685484
Raw market,0.03374,0.682796
Raw market,0.033774,0.680108
Raw market,0.033884,0.677419
Raw market,0.034047,0.674731
Raw market,0.034274,0.672043
Raw market,0.035039,0.669355
Raw market,0.035117,0.666667
Raw market,0.035159,0.663978
Raw market,0.035654,0.66129
Raw market,0.036,0.658602
Raw market,0.037307,0.655914
Raw market,0.037805,0.653226
Raw market,0.03815,0.650538
Raw market,0.038316,0.647849
Raw market,0.03876,0.645161
Raw market,0.039595,0.642473
Raw market,0.03982,0.639785
Raw market,0.040915,0.637097
Raw market,0.040931,0.634409
Raw market,0.040948,0.63172
Raw market,0.040975,0.629032
Raw market,0.041132,0.626344
Raw market,0.041243,0.623656
Raw market,0.041331,0.620968
Raw market,0.041457,0.61828
Raw market,0.04197,0.615591
Raw market,0.042735,0.612903
Raw market,0.043144,0.610215
Raw market,0.043468,0.607527
Raw market,0.04427,0.604839
Raw market,0.044556,0.602151
Raw market,0.044571,0.599462
Raw market,0.044773,0.596774
Raw market,0.046486,0.594086
Raw market,0.046763,0.591398
Raw market,0.046785,0.58871
Raw market,0.046943,0.586022
Raw market,0.047141,0.583333
Raw market,0.047421,0.580645
Raw market,0.047947,0.577957
Raw market,0.048746,0.575269
Raw market,0.049358,0.572581
Raw market,0.049478,0.569892
Raw market,0.049673,0.567204
Raw market,0.049728,0.564516
Raw market,0.051151,0.561828
Raw market,0.051423,0.55914
Raw market,0.051449,0.556452
Raw market,0.051978,0.553763
Raw market,0.052376,0.551075
Raw market,0.052398,0.548387
Raw market,0.052526,0.545699
Raw market,0.052682,0.543011
Raw market,0.052941,0.540323
Raw market,0.053316,0.537634
Raw market,0.05382,0.534946
Raw market,0.05439,0.532258
Raw market,0.054595,0.52957
Raw market,0.05496,0.526882
Raw market,0.0555,0.524194
Raw market,0.055621,0.521505
Raw market,0.056242,0.518817
Raw market,0.056487,0.516129
Raw market,0.056702,0.513441
Raw market,0.056785,0.510753
Raw market,0.057135,0.508065
Raw market,0.057253,0.505376
Raw market,0.05854,0.502688
Raw market,0.058836,0.5
Raw market,0.059279,0.497312
Raw market,0.059323,0.494624
Raw market,0.059367,0.491935
Raw market,0.059553,0.489247
Raw market,0.059579,0.486559
Raw market,0.060111,0.483871
Raw market,0.060827,0.481183
Raw market,0.061784,0.478495
Raw market,0.06179,0.475806
Raw market,0.061969,0.473118
Raw market,0.062129,0.47043
Raw market,0.062633,0.467742
Raw market,0.063808,0.465054
Raw market,0.064643,0.462366
Raw market,0.065559,0.459677
Raw market,0.066775,0.456989
Raw market,0.066914,0.454301
Raw market,0.067176,0.451613
Raw market,0.067364,0.448925
Raw market,0.067555,0.446237
Raw market,0.067604,0.443548
Raw market,0.067644,0.44086
Raw market,0.068111,0.438172
Raw market,0.068601,0.435484
Raw market,0.069042,0.432796
Raw market,0.06909,0.430108
Raw market,0.069253,0.427419
Raw market,0.070214,0.424731
Raw market,0.070659,0.422043
Raw market,0.072684,0.419355
Raw market,0.072744,0.416667
Raw market,0.072956,0.413978
Raw market,0.07331,0.41129
Raw market,0.073803,0.408602
Raw market,0.074248,0.405914
Raw market,0.074371,0.403226
Raw market,0.075876,0.400538
Raw market,0.07708,0.397849
Raw market,0.077578,0.395161
Raw market,0.077797,0.392473
Raw market,0.077863,0.389785
Raw market,0.079215,0.387097
Raw market,0.079239,0.384409
Raw market,0.081758,0.38172
Raw market,0.08192,0.379032
Raw market,0.082479,0.376344
Raw market,0.082543,0.373656
Raw market,0.082946,0.370968
Raw market,0.083848,0.36828
Raw market,0.084221,0.365591
Raw market,0.084836,0.362903
Raw market,0.085862,0.360215
Raw market,0.087156,0.357527
Raw market,0.08718,0.354839
Raw market,0.088464,0.352151
Raw market,0.088889,0.349462
Raw market,0.089177,0.346774
Raw market,0.089823,0.344086
Raw market,0.090265,0.341398
Raw market,0.090958,0.33871
Raw market,0.091434,0.336022
Raw market,0.0929,0.333333
Raw market,0.093237,0.330645
Raw market,0.095842,0.327957
Raw market,0.096309,0.325269
Raw market,0.097923,0.322581
Raw market,0.098474,0.319892
Raw market,0.099063,0.317204
Raw market,0.099073,0.314516
Raw market,0.100571,0.311828
Raw market,0.101335,0.30914
Raw market,0.10179,0.306452
Raw market,0.101937,0.303763
Raw market,0.103451,0.301075
Raw market,0.103942,0.298387
Raw market,0.10427,0.295699
Raw market,0.105774,0.293011
Raw market,0.106391,0.290323
Raw market,0.106564,0.287634
Raw market,0.106852,0.284946
Raw market,0.107359,0.282258
Raw market,0.109871,0.27957
Raw market,0.110708,0.276882
Raw market,0.111683,0.274194
Raw market,0.112861,0.271505
Raw market,0.11394,0.268817
Raw market,0.114179,0.266129
Raw market,0.11468,0.263441
Raw market,0.117496,0.260753
Raw market,0.117846,0.258065
Raw market,0.119464,0.255376
Raw market,0.120351,0.252688
Raw market,0.120448,0.25
Raw market,0.121637,0.247312
Raw market,0.12397,0.244624
Raw market,0.124167,0.241935
Raw market,0.126891,0.239247
Raw market,0.128021,0.236559
Raw market,0.128976,0.233871
Raw market,0.130439,0.231183
Raw market,0.130821,0.228495
Raw market,0.130947,0.225806
Raw market,0.135669,0.223118
Raw market,0.135827,0.22043
Raw market,0.137057,0.217742
Raw market,0.13733,0.215054
Raw market,0.138762,0.212366
Raw market,0.139275,0.209677
Raw market,0.140029,0.206989
Raw market,0.140099,0.204301
Raw market,0.140214,0.201613
Raw market,0.141591,0.198925
Raw market,0.143233,0.196237
Raw market,0.144579,0.193548
Raw market,0.145008,0.19086
Raw market,0.145291,0.188172
Raw market,0.145554,0.185484
Raw market,0.151419,0.182796
Raw market,0.151465,0.180108
Raw market,0.151822,0.177419
Raw market,0.15511,0.174731
Raw market,0.15559,0.172043
Raw market,0.1565,0.169355
Raw market,0.158503,0.166667
Raw market,0.16241,0.163978
Raw market,0.167126,0.16129
Raw market,0.173105,0.158602
Raw market,0.175601,0.155914
Raw market,0.183042,0.153226
Raw market,0.187612,0.150538
Raw market,0.189387,0.147849
Raw market,0.193249,0.145161
Raw market,0.195388,0.142473
Raw market,0.200683,0.139785
Raw market,0.206803,0.137097
Raw market,0.21126,0.134409
Raw market,0.212282,0.13172
Raw market,0.213977,0.129032
Raw market,0.224095,0.126344
Raw market,0.224293,0.123656
Raw market,0.224867,0.120968
Raw market,0.225383,0.11828
Raw market,0.229443,0.115591
Raw market,0.232768,0.112903
Raw market,0.234669,0.110215
Raw market,0.235662,0.107527
Raw market,0.257813,0.104839
Raw market,0.266114,0.102151
Raw market,0.267301,0.099462
Raw market,0.273424,0.096774
Raw market,0.274371,0.094086
Raw market,0.279391,0.091398
Raw market,0.28675,0.08871
Raw market,0.292707,0.086022
Raw market,0.295965,0.083333
Raw market,0.303016,0.080645
Raw market,0.3031,0.077957
Raw market,0.321789,0.075269
Raw market,0.359445,0.072581
Raw market,0.359851,0.069892
Raw market,0.363732,0.067204
Raw market,0.364791,0.064516
Raw market,0.366962,0.061828
Raw market,0.368203,0.05914
Raw market,0.373316,0.056452
Raw market,0.389014,0.053763
Raw market,0.400164,0.051075
Raw market,0.405497,0.048387
Raw market,0.40983,0.045699
Raw market,0.438596,0.043011
Raw market,0.440993,0.040323
Raw market,0.454545,0.037634
Raw market,0.46057,0.034946
Raw market,0.476745,0.032258
Raw market,0.605731,0.02957
Raw market,0.634074,0.026882
Raw market,0.648021,0.024194
Raw market,0.672083,0.021505
Raw market,0.678189,0.018817
Raw market,0.707604,0.016129
Raw market,0.711338,0.013441
Raw market,0.76535,0.010753
Raw market,0.838984,0.008065
