donor_observation_id,S_raw,S_size_old,S_adj_old,S_size_new,S_adj_new
1084_2014,-0.058086,-0.067862,-0.066119,-0.072579,-0.07162
1084_2015,-0.0606,-0.074321,-0.072293,-0.079492,-0.078308
1084_2016,-0.059478,-0.073438,-0.070575,-0.078576,-0.076447
1084_2017,-0.02125,-0.027187,-0.026149,-0.029088,-0.028325
1084_2018,-0.06827,-0.088922,-0.085982,-0.095126,-0.093136
1084_2019,-0.034552,-0.044566,-0.042879,-0.047682,-0.046447
1084_2020,-0.028163,-0.036619,-0.035003,-0.039187,-0.037916
1084_2021,-0.072603,-0.096593,-0.091905,-0.103382,-0.099552
1084_2022,-0.029656,-0.040797,-0.03894,-0.04366,-0.042179
1084_2023,-0.014172,-0.019987,-0.019065,-0.02139,-0.020651
1084_2024,-0.007551,-0.010698,-0.01033,-0.011445,-0.011189
1110_2015,0.004497,0.002152,0.002086,0.002302,0.002259
1110_2016,0.047947,0.02807,0.027121,0.030029,0.029378
1110_2017,-0.006697,-0.004645,-0.004441,-0.004971,-0.00481
1110_2020,0.020393,0.010757,0.00982,0.011526,0.010638
1110_2021,0.267301,0.16717,0.161647,0.178833,0.175097
1110_2022,0.040931,0.026172,0.024521,0.028024,0.026562
1110_2023,0.079215,0.067118,0.061737,0.071905,0.066874
1110_2024,0.138762,0.11575,0.106253,0.124011,0.115093
1176_2014,-0.240586,-0.079726,-0.074507,-0.085374,-0.080706
1176_2016,-0.082251,-0.025954,-0.02447,-0.027785,-0.026506
1176_2017,-0.159517,-0.055877,-0.052696,-0.05982,-0.05708
1176_2018,-0.108497,-0.038489,-0.036296,-0.041205,-0.039316
1176_2019,-0.212804,-0.070927,-0.067625,-0.075908,-0.073252
1176_2020,-0.210039,-0.067264,-0.063629,-0.072004,-0.068923
1176_2021,-0.199042,-0.065418,-0.061881,-0.070028,-0.06703
1176_2022,-0.215449,-0.070111,-0.065879,-0.075066,-0.07136
1176_2023,-0.195622,-0.064388,-0.060656,-0.068933,-0.065703
1176_2024,-0.15174,-0.05154,-0.04961,-0.055144,-0.053738
1183_2017,-0.017826,-0.018892,-0.01828,-0.020209,-0.019801
1183_2019,0.013054,0.014647,0.013855,0.01568,0.015008
1183_2020,-0.026716,-0.029703,-0.028121,-0.031796,-0.030461
1183_2022,0.041457,0.050196,0.047771,0.053724,0.051745
1183_2023,-0.014227,-0.017628,-0.016763,-0.018867,-0.018158
1183_2024,0.193249,0.235118,0.228416,0.251485,0.247421
1200_2015,0.015349,0.01248,0.012104,0.01335,0.013111
1200_2017,0.069042,0.06243,0.061483,0.066748,0.066599
1200_2018,0.110708,0.109473,0.107412,0.117058,0.116349
1200_2019,0.140214,0.138369,0.13602,0.147947,0.147338
1200_2020,0.068111,0.068075,0.066422,0.072805,0.071949
1200_2021,0.033373,0.033881,0.03301,0.036237,0.035756
1200_2023,0.033884,0.03404,0.033014,0.036411,0.035761
1200_2024,0.072684,0.063595,0.061414,0.068035,0.066524
1206_2015,0.077863,0.057153,0.055031,0.061148,0.05961
